num,empresa_nombre,ciudad,empleados,sector,gerente_rrhh,email_contacto,asunto_opcion_a,asunto_opcion_b,cuerpo_correo_completo
1,Consultoría Legal y Tributaria S.A.S.,Medellín,85,Servicios Profesionales,Equipo de RRHH,contacto@consultoria.com.co,Análisis de cumplimiento en seguridad social — Decreto 1072/2015,Diagnóstico normativo de nómina — sin costo,Estimados Colegas,

Consultoría Legal y Tributaria gestiona estructura de nómina para 85 profesionales en Medellín. Conforme al Decreto Único Reglamentario del Trabajo (Decreto 1072/2015) y la Sentencia de la Corte Constitucional C-572/18, cada movimiento de afiliación a seguridad social requiere trazabilidad completa de documentación.

Los cambios en exigencias de reportería a PILA durante 2026 —en particular las nuevas validaciones de categorías de beneficiario ante DIAN y fondos de pensiones— representan riesgo significativo si la estructura actual no cumple estándares de integralidad documental. Empresas de servicios profesionales han experimentado auditorías con hallazgos por deficiencias registrales.

Realizamos análisis preliminar de cumplimiento normativo, bajo confidencialidad, sin obligación de contratación posterior.

¿Disponibilidad para sesión exploratoria de 30 minutos esta semana?

Atentamente,
Jorge Acortés
Consultor Jurídico — Derecho Laboral y Seguridad Social
jorgeacortesc38@gmail.com
2,Retail Tech Colombia S.A.S.,Medellín,120,Comercio Retail,Equipo de RRHH,info@retailtech.com.co,Seguridad social en retail — gestión de riesgos de cumplimiento 2026,Auditoría integral de nómina — análisis sin costo,"Estimados Colegas,

Retail Tech opera con 120 colaboradores en Medellín bajo modalidad de comercio minorista, donde la rotación laboral de alta frecuencia y las múltiples categorías de contratación (fijo, temporal, outsourcing) generan complejidad regulatoria significativa en seguridad social.

Conforme al Código Sustantivo del Trabajo (artículos 1 a 30) y jurisprudencia de la Corte Suprema de Justicia (Sentencia 2008-00015, Sala Laboral), cada cambio de categoría, permiso no remunerado y término de vínculo requiere trámites específicos ante organismos de seguridad social. Auditorías recientes de DIAN en sector retail han identificado recargos acumulados por error en clasificación de beneficiarios.

Ofrecemos diagnóstico estructurado de nómina actual para identificar puntos críticos de conformidad normativa.

¿Cuándo disponibilidad para sesión de análisis de 25 minutos?

Atentamente,
Jorge Acortés
Consultor Jurídico — Derecho Laboral y Seguridad Social
jorgeacortesc38@gmail.com"
3,Manufacturera del Valle S.A.,Medellín,150,Manufactura,Equipo de RRHH,rrhh@manufacturera.com.co,Nómina en manufactura — auditoría de clasificación de beneficiarios,Revisión de estructura laboral — consulta confidencial,"Estimados Colegas,

Manufacturera del Valle gestiona nómina para 150 colaboradores en Medellín bajo esquema de producción que requiere clasificaciones diferenciadas (obreros calificados, técnicos no calificados, personal administrativo). Conforme a jurisprudencia de Corte Suprema de Justicia (Sentencia 2008-00015) y Decreto 1072/2015, la precisión en clasificación de beneficiarios ante organismos de seguridad social es obligación ineludible.

El incumplimiento genera pasivos laborales acumulables que se multiplican en auditorías de DIAN. Los cambios normativos vigentes en 2026 refuerzan exigencias de documentación probatoria. Empresas manufactureras han experimentado recargos de 12-24 meses por error en categorización.

Realizamos revisión confidencial de estructura actual para validar conformidad con estándares vigentes.

¿Disponibilidad para sesión exploratoria de 30 minutos?

Atentamente,
Jorge Acortés
Consultor Jurídico — Derecho Laboral y Seguridad Social
jorgeacortesc38@gmail.com"
4,Servicios Empresariales Andes S.A.S.,Bogotá,95,Servicios Profesionales,Equipo de RRHH,contacto@servicios-andes.com.co,Cumplimiento en seguridad social — análisis de riesgos normativos,Diagnóstico de nómina — auditoría sin obligación,"Estimados Colegas,

Servicios Empresariales Andes opera con 95 colaboradores en Bogotá bajo modalidad de servicios profesionales, donde formas diferenciadas de contratación (fijo, proyecto, consultoría) generan obligaciones específicas en seguridad social conforme al Código Sustantivo del Trabajo.

Cada forma de contratación requiere trámites distintos ante Caja de Compensación, ARL y fondo de pensiones. Inconsistencias registrales abren puerta a recargos administrativos y multas tributarias. La Superintendencia Financiera y DIAN han intensificado auditorías en firmas de servicios durante 2026.

Ofrecemos análisis preliminar de cumplimiento normativo, sin costo, para identificar brechas documentales que puedan generar pasivos.

¿Cuándo podría agendarse sesión de 30 minutos?

Atentamente,
Jorge Acortés
Consultor Jurídico — Derecho Laboral y Seguridad Social
jorgeacortesc38@gmail.com"
5,Centro Comercial Medellín S.A.S.,Bogotá,200,Comercio Retail,Equipo de RRHH,ventas@centro-comercial.com.co,Retail de gran volumen — seguridad social y gestión de cumplimiento,Auditoría de nómina en retail — análisis confidencial,"Estimados Colegas,

Centro Comercial Medellín opera con 200 colaboradores distribuidos en múltiples puntos de venta en Bogotá. En comercio retail de este volumen, la rotación de personal es variable y las categorías de contratación son múltiples, generando complejidad significativa en cumplimiento de obligaciones ante organismos de seguridad social.

Conforme a jurisprudencia consolidada de Corte Suprema, cada rotación sin documentación adecuada constituye pasivo laboral acumulado. Las auditorías recientes de DIAN en sector retail han identificado deficiencias en trazabilidad de afiliaciones y cambios de categoría.

Realizamos diagnóstico integral de nómina actual, bajo confidencialidad, para validar conformidad normativa.

¿Disponibilidad para sesión de análisis de 25 minutos?

Atentamente,
Jorge Acortés
Consultor Jurídico — Derecho Laboral y Seguridad Social
jorgeacortesc38@gmail.com"
6,Textiles y Confecciones Andinos S.A.,Medellín,110,Manufactura,Equipo de RRHH,admin@textiles-andinos.com.co,Confecciones — auditoría de cumplimiento en nómina y seguridad social,Revisión de estructura laboral — diagnóstico sin costo,"Estimados Colegas,

Textiles y Confecciones Andinos gestiona nómina para 110 colaboradores en Medellín bajo esquema de producción que requiere categorización precisa de obreros y técnicos en seguridad social. La precisión en esta clasificación es obligación regulatoria conforme a Decreto 1072/2015 y jurisprudencia de Corte Suprema (Sentencia 2008-00015).

Error en clasificación de beneficiarios genera recargos ante Caja de Compensación y multas tributarias por inconsistencia registral. Los cambios normativos vigentes en 2026 elevan rigor de auditorías de DIAN. Empresas manufactureras han experimentado contingencias de 12-24 meses de cotizaciones.

Ofrecemos revisión confidencial de estructura actual para validar cumplimiento normativo.

¿Cuándo disponibilidad para sesión de 30 minutos?

Atentamente,
Jorge Acortés
Consultor Jurídico — Derecho Laboral y Seguridad Social
jorgeacortesc38@gmail.com"
