num,empresa_nombre,email_contacto,cuerpo_seguimiento_1,wordcount_1,notas
1,Consultoría Legal y Tributaria S.A.S.,contacto@consultoria.com.co,"Estimados,

La Sentencia C-572/18 de Corte Constitucional confirma responsabilidad integral en trazabilidad de afiliaciones. Las auditorías de DIAN en 2026 aplican este criterio estrictamente. Nuestra revisión toma 60 minutos y anticipa hallazgos.

¿Disponibilidad esta semana?

Jorge Acortés
jorgeacortesc38@gmail.com",48,Refuerza urgencia: jurisprudencia + auditoría DIAN 2026
2,Retail Tech Colombia S.A.S.,info@retailtech.com.co,"Estimados,

La rotación laboral en retail genera complejidad registral. Corte Suprema (Sentencia 2008-00015) exige precisión en cada cambio de categoría. DIAN ha identificado recargos por deficiencias en sector retail.

Nuestra auditoría anticipa estos hallazgos en 45 minutos.

¿Agendamos?

Jorge Acortés
jorgeacortesc38@gmail.com",49,Riesgo específico de sector retail: rotación + jurisprudencia
3,Manufacturera del Valle S.A.,rrhh@manufacturera.com.co,"Estimados,

Error en clasificación de beneficiarios en manufactura genera recargos de 12-24 meses. Corte Suprema ha consolidado esta responsabilidad en jurisprudencia laboral. Decreto 1072/2015 no admite excepciones.

Nuestro análisis evalúa cumplimiento en 45 minutos.

¿Esta semana?

Jorge Acortés
jorgeacortesc38@gmail.com",46,Amplifica cuantía del riesgo (12-24 meses) + jurisprudencia
4,Servicios Empresariales Andes S.A.S.,contacto@servicios-andes.com.co,"Estimados,

Las formas múltiples de contratación (fijo, proyecto, consultoría) requieren trámites diferenciados ante Caja de Compensación y fondos de pensiones. DIAN intensifica auditorías en firmas de servicios. Inconsistencias registrales generan multas tributarias.

Diagnóstico en 40 minutos.

¿Disponibilidad?

Jorge Acortés
jorgeacortesc38@gmail.com",49,Resalta múltiples obligaciones + auditoría DIAN en curso
5,Centro Comercial Medellín S.A.S.,ventas@centro-comercial.com.co,"Estimados,

Centro Comercial con 200 colaboradores enfrenta complejidad significativa en seguridad social. Corte Suprema exige trazabilidad completa en cada rotación. DIAN ha identificado deficiencias en trazabilidad de afiliaciones en sector retail.

Revisión estructurada en 45 minutos.

¿Hoy o mañana?

Jorge Acortés
jorgeacortesc38@gmail.com",48,Resalta escala (200 empleados) + deficiencias reales de DIAN en sector
6,Textiles y Confecciones Andinos S.A.,admin@textiles-andinos.com.co,"Estimados,

Confecciones en Medellín: precisión en clasificación de obreros y técnicos es obligación regulatoria sin excepciones. Decreto 1072/2015 y Corte Suprema (Sentencia 2008-00015) lo confirman. Cambios normativos 2026 elevan rigor de auditorías.

Diagnóstico confidencial en 45 minutos.

¿Disponibilidad?

Jorge Acortés
jorgeacortesc38@gmail.com",49,Específico a manufactura: obligación sin excepciones + cambios 2026
7,Asesoría Empresarial Plus S.A.S.,info@asesoria-plus.com.co,"Estimados,

Como firma de asesoría, su propia nómina debe ser modelo de cumplimiento regulatorio. Error en documentación constituye exposición reputacional ante clientes. DIAN ha intensificado auditorías en firmas profesionales durante 2026.

Análisis preliminar en 35 minutos.

¿Esta semana?

Jorge Acortés
jorgeacortesc38@gmail.com",47,Riesgo reputacional específico para firma asesora + auditoría DIAN
8,Multielectrónica Bogotá S.A.S.,rrhh@multielectronica.com.co,"Estimados,

Dualidad de canales (electrónico + físico) genera estructuras laborales diferenciadas. DIAN ha identificado deficiencias en trazabilidad de afiliaciones en retail electrónico. Cambios normativos 2026 refuerzan validaciones.

Diagnóstico integral en 45 minutos.

¿Agendamos esta semana?

Jorge Acortés
jorgeacortesc38@gmail.com",45,Específico a modelo de negocio: canales múltiples + deficiencias reales
9,Metalmecánica Precisión S.A.,contacto@metalmec.com.co,"Estimados,

Manufactura metalmecánica: clasificación de obreros calificados y no calificados genera recargos de Caja de Compensación de 12-24 meses si hay error. Corte Suprema (Sentencia 2008-00015) consolida esta responsabilidad.

Revisión confidencial en 45 minutos.

¿Disponibilidad?

Jorge Acortés
jorgeacortesc38@gmail.com",47,Cuantía de riesgo (12-24 meses) + jurisprudencia de Corte Suprema
10,Gestión Laboral Innovadora S.A.S.,info@gestion-laboral.com.co,"Estimados,

Como firma de gestión laboral, error en documentación de afiliaciones constituye exposición reputacional significativa ante clientes y organismos de control. DIAN audita estrictamente cumplimiento en firmas consultoras durante 2026.

Análisis sin costo en 35 minutos.

¿Esta semana?

Jorge Acortés
jorgeacortesc38@gmail.com",48,Riesgo reputacional + posición ante organismos de control
11,Grupo Empresarial Integral S.A.S.,contacto@grupointegral.com.co,"Estimados,

Servicios empresariales con 140 profesionales: múltiples formas de contratación generan obligaciones diferenciadas. Inconsistencias registrales resultan en recargos administrativos y multas tributarias. DIAN intensifica auditorías en firmas de servicios.

Análisis en 45 minutos.

¿Agendamos?

Jorge Acortés
jorgeacortesc38@gmail.com",46,Escala (140 empleados) + múltiples obligaciones + auditoría DIAN
12,Servicios de Distribución Logística S.A.S.,rrhh@distribucion-logistica.com.co,"Estimados,

Logística con 175 colaboradores: categorías de personal (conductores, operarios, administrativos) requieren precisión en seguridad social. DIAN enfatiza verificación en sector logístico durante 2026. Error en clasificación genera inconsistencias ante Caja de Compensación.

Diagnóstico en 45 minutos.

¿Disponibilidad?

Jorge Acortés
jorgeacortesc38@gmail.com",49,Específico a sector: categorías múltiples + auditoría DIAN enfocada
13,Manufacturera de Componentes S.A.,admin@manufacturera-componentes.com.co,"Estimados,

Manufacturera de componentes: cambios normativos 2026 elevan rigor de auditorías de DIAN. Error en clasificación de beneficiarios genera recargos de Caja de Compensación de 12-24 meses. Jurisprudencia consolidada lo confirma.

Revisión confidencial en 45 minutos.

¿Esta semana?

Jorge Acortés
jorgeacortesc38@gmail.com",45,Cuantía de riesgo + cambios normativos 2026 + jurisprudencia
14,Consultoría Tributaria y Laboral S.A.S.,info@consultoria-tributaria.com.co,"Estimados,

Firma tributaria con 95 profesionales: error en documentación de afiliaciones constituye exposición reputacional ante clientes y organismos de control. DIAN audita estrictamente cumplimiento en firmas especialistas durante 2026.

Análisis en 35 minutos.

¿Agendamos?

Jorge Acortés
jorgeacortesc38@gmail.com",46,Riesgo reputacional + posición experta exigida
15,Empresa de Telecomunicaciones Regional,rrhh@telecom-regional.com.co,"Estimados,

Telecomunicaciones con 160 colaboradores: error en clasificación de personal técnico versus administrativo genera inconsistencias registrales. DIAN intensificó auditorías en sector durante 2026, con énfasis en trazabilidad de afiliaciones.

Diagnóstico en 45 minutos.

¿Disponibilidad esta semana?

Jorge Acortés
jorgeacortesc38@gmail.com",46,Específico a sector telecom + auditoría DIAN intensificada 2026
